data,explainer,scale,k,recall,precision,ndcg
CIFAR10,HDEXPLAIN,False,70,0.11,0.1571428571428571,0.0964285667592357
CIFAR10,HDEXPLAIN,False,80,0.13,0.1625,0.1117425414254191
CIFAR10,HDEXPLAIN,False,90,0.15,0.1666666666666666,0.1265505628532423
CIFAR10,HDEXPLAIN,False,100,0.15,0.15,0.1265505628532423
CIFAR10,HDEXPLAIN,True,10,0.1,1.0,0.2169936843350081
CIFAR10,HDEXPLAIN,True,20,0.2,1.0,0.3362328212805096
CIFAR10,HDEXPLAIN,True,30,0.3,1.0,0.4375435812926453
CIFAR10,HDEXPLAIN,True,40,0.4,1.0,0.5296913427430939
CIFAR10,HDEXPLAIN,True,50,0.5,1.0,0.6159766672539753
CIFAR10,HDEXPLAIN,True,60,0.6,1.0,0.698072917482775
CIFAR10,HDEXPLAIN,True,70,0.7,1.0,0.7769697074735189
CIFAR10,HDEXPLAIN,True,80,0.8,1.0,0.8533112834821622
CIFAR10,HDEXPLAIN,True,90,0.9,1.0,0.927545698496354
CIFAR10,HDEXPLAIN,True,100,0.99,0.99,0.9928271243134076
CIFAR10,RPS,False,10,0.03,0.3,0.0451939865128802
CIFAR10,RPS,False,20,0.13,0.65,0.1644331234583817
CIFAR10,RPS,False,30,0.22,0.7333333333333333,0.2554596452621985
CIFAR10,RPS,False,40,0.32,0.8,0.347607406712647
CIFAR10,RPS,False,50,0.42,0.84,0.4338927312235284
CIFAR10,RPS,False,60,0.52,0.8666666666666667,0.5159889814523281
CIFAR10,RPS,False,70,0.62,0.8857142857142857,0.5948857714430721
CIFAR10,RPS,False,80,0.72,0.9,0.6712273474517152
CIFAR10,RPS,False,90,0.82,0.9111111111111112,0.7454617624659069
CIFAR10,RPS,False,100,0.92,0.92,0.8179160639695532
CIFAR10,IF,True,10,0.0,0.0,0.0
CIFAR10,IF,True,20,0.0,0.0,0.0
CIFAR10,IF,True,30,0.02,0.0666666666666666,0.0195744842984301
CIFAR10,IF,True,40,0.12,0.3,0.1117222457488787
CIFAR10,IF,True,50,0.22,0.44,0.1980075702597602
CIFAR10,IF,True,60,0.32,0.5333333333333333,0.2801038204885597
CIFAR10,IF,True,70,0.42,0.6,0.3590006104793037
CIFAR10,IF,True,80,0.52,0.65,0.4353421864879468
CIFAR10,IF,True,90,0.62,0.6888888888888889,0.5095766015021386
CIFAR10,IF,True,100,0.72,0.72,0.5820309030057845
CIFAR10,HDEXPLAIN,False,10,0.02,0.2,0.0486077921047102
CIFAR10,HDEXPLAIN,False,20,0.02,0.1,0.0486077921047102
CIFAR10,HDEXPLAIN,False,30,0.03,0.1,0.0593173459997005
CIFAR10,HDEXPLAIN,False,40,0.03,0.075,0.0593173459997005
CIFAR10,HDEXPLAIN,False,50,0.04,0.08,0.0679153763015105
CIFAR10,HDEXPLAIN,False,60,0.08,0.1333333333333333,0.1008250191928644
CIFAR10,HDEXPLAIN,False,70,0.11,0.1571428571428571,0.1245373786881501
CIFAR10,HDEXPLAIN,False,80,0.16,0.2,0.1628764317435313
CIFAR10,HDEXPLAIN,False,90,0.17,0.1888888888888888,0.1703082019994759
CIFAR10,HDEXPLAIN,False,100,0.21,0.21,0.1991414575008822
CIFAR10,HDEXPLAIN,True,10,0.1,1.0,0.2169936843350081
CIFAR10,HDEXPLAIN,True,20,0.2,1.0,0.3362328212805096
CIFAR10,HDEXPLAIN,True,30,0.3,1.0,0.4375435812926453
CIFAR10,HDEXPLAIN,True,40,0.4,1.0,0.5296913427430939
CIFAR10,HDEXPLAIN,True,50,0.5,1.0,0.6159766672539753
CIFAR10,HDEXPLAIN,True,60,0.6,1.0,0.698072917482775
CIFAR10,HDEXPLAIN,True,70,0.7,1.0,0.7769697074735189
CIFAR10,HDEXPLAIN,True,80,0.8,1.0,0.8533112834821622
CIFAR10,HDEXPLAIN,True,90,0.9,1.0,0.927545698496354
CIFAR10,HDEXPLAIN,True,100,0.99,0.99,0.9928271243134076
CIFAR10,RPS,False,10,0.05,0.5,0.0776432204840845
CIFAR10,RPS,False,20,0.15,0.75,0.1968823574295859
CIFAR10,RPS,False,30,0.25,0.8333333333333334,0.2981931174417216
CIFAR10,RPS,False,40,0.35,0.875,0.3903408788921702
CIFAR10,RPS,False,50,0.45,0.9,0.4766262034030517
CIFAR10,RPS,False,60,0.55,0.9166666666666666,0.5587224536318514
CIFAR10,RPS,False,70,0.65,0.9285714285714286,0.6376192436225954
CIFAR10,RPS,False,80,0.73,0.9125,0.6986960260421977
CIFAR10,RPS,False,90,0.83,0.9222222222222224,0.7729304410563892
CIFAR10,RPS,False,100,0.92,0.92,0.8381320781362686
CIFAR10,IF,True,10,0.0,0.0,0.0
CIFAR10,IF,True,20,0.0,0.0,0.0
CIFAR10,IF,True,30,0.05,0.1666666666666666,0.0500632509579871
CIFAR10,IF,True,40,0.15,0.375,0.1422110124084356
CIFAR10,IF,True,50,0.25,0.5,0.2284963369193171
CIFAR10,IF,True,60,0.35,0.5833333333333334,0.3105925871481166
CIFAR10,IF,True,70,0.45,0.6428571428571429,0.3894893771388606
CIFAR10,IF,True,80,0.55,0.6875,0.4658309531475038
CIFAR10,IF,True,90,0.65,0.7222222222222222,0.5400653681616956
CIFAR10,IF,True,100,0.75,0.75,0.6125196696653415
CIFAR10,HDEXPLAIN,False,10,0.0,0.0,0.0
CIFAR10,HDEXPLAIN,False,20,0.01,0.05,0.0116841486065255
CIFAR10,HDEXPLAIN,False,30,0.03,0.1,0.031608401111551
CIFAR10,HDEXPLAIN,False,40,0.05,0.125,0.0502605598264811
CIFAR10,HDEXPLAIN,False,50,0.06,0.12,0.0586799783964259
CIFAR10,HDEXPLAIN,False,60,0.07,0.1166666666666666,0.0669037780266883
CIFAR10,HDEXPLAIN,False,70,0.09,0.1285714285714285,0.0827121278614415
CIFAR10,HDEXPLAIN,False,80,0.11,0.1375,0.0979104499567322
CIFAR10,HDEXPLAIN,False,90,0.13,0.1444444444444444,0.1128937809224515
CIFAR10,HDEXPLAIN,False,100,0.15,0.15,0.1274188045546411
CIFAR10,HDEXPLAIN,True,10,0.1,1.0,0.2169936843350081
CIFAR10,HDEXPLAIN,True,20,0.2,1.0,0.3362328212805096
CIFAR10,HDEXPLAIN,True,30,0.3,1.0,0.4375435812926453
CIFAR10,HDEXPLAIN,True,40,0.4,1.0,0.5296913427430939
CIFAR10,HDEXPLAIN,True,50,0.5,1.0,0.6159766672539753
CIFAR10,HDEXPLAIN,True,60,0.6,1.0,0.698072917482775
CIFAR10,HDEXPLAIN,True,70,0.7,1.0,0.7769697074735189
CIFAR10,HDEXPLAIN,True,80,0.8,1.0,0.8533112834821622
CIFAR10,HDEXPLAIN,True,90,0.9,1.0,0.927545698496354
CIFAR10,HDEXPLAIN,True,100,0.97,0.97,0.978434654024138
CIFAR10,RPS,False,10,0.0,0.0,0.0
CIFAR10,RPS,False,20,0.06,0.3,0.0692245226096597
CIFAR10,RPS,False,30,0.16,0.5333333333333333,0.1705352826217955
CIFAR10,RPS,False,40,0.26,0.65,0.2626830440722441
CIFAR10,RPS,False,50,0.36,0.72,0.3489683685831256
CIFAR10,RPS,False,60,0.46,0.7666666666666667,0.4310646188119251
CIFAR10,RPS,False,70,0.56,0.8,0.5099614088026693
CIFAR10,RPS,False,80,0.65,0.8125,0.5786820896442776
CIFAR10,RPS,False,90,0.75,0.8333333333333334,0.6529165046584693
CIFAR10,RPS,False,100,0.84,0.84,0.7181507580592784
CIFAR10,IF,True,10,0.0,0.0,0.0
CIFAR10,IF,True,20,0.0,0.0,0.0
CIFAR10,IF,True,30,0.05,0.1666666666666666,0.0497678648013796
CIFAR10,IF,True,40,0.15,0.375,0.1419156262518282
CIFAR10,IF,True,50,0.25,0.5,0.2282009507627096
CIFAR10,IF,True,60,0.35,0.5833333333333334,0.3102972009915092
CIFAR10,IF,True,70,0.45,0.6428571428571429,0.3891939909822532
CIFAR10,IF,True,80,0.55,0.6875,0.4655355669908964
CIFAR10,IF,True,90,0.65,0.7222222222222222,0.5397699820050881
CIFAR10,IF,True,100,0.75,0.75,0.612224283508734
CIFAR10,HDEXPLAIN,False,10,0.01,0.1,0.020568476416638
CIFAR10,HDEXPLAIN,False,20,0.01,0.05,0.020568476416638
CIFAR10,HDEXPLAIN,False,30,0.04,0.1333333333333333,0.0514825587628662
CIFAR10,HDEXPLAIN,False,40,0.05,0.125,0.0608700520480422
