data,temperature,scale,coverage,hit_rate,execution_time
MRI,1.0,False,0.7733333333333333,0.99,32.122870206832886
MRI,3.0,False,0.7633333333333333,0.99,32.27125573158264
MRI,6.0,False,0.7466666666666667,0.99,32.2403199672699
MRI,0.03,False,0.79,1.0,32.3190131187439
MRI,0.06,False,0.79,1.0,32.28420162200928
MRI,0.1,False,0.77,1.0,32.2931010723114
MRI,0.3,False,0.7866666666666666,0.99,32.214606523513794
MRI,0.6,False,0.78,0.99,32.20867657661438
MRI,1.0,False,0.77,0.99,32.208993911743164
MRI,3.0,False,0.7466666666666667,0.99,32.20708203315735
MRI,6.0,False,0.7233333333333334,0.97,32.22346568107605
MRI,0.03,False,0.7766666666666666,1.0,32.13924288749695
MRI,0.06,False,0.7766666666666666,1.0,32.05348086357117
MRI,0.1,False,0.78,1.0,32.07710313796997
MRI,0.3,False,0.78,1.0,32.18188548088074
MRI,0.6,False,0.7833333333333333,0.97,32.19737458229065
MRI,1.0,False,0.7666666666666667,0.97,32.21403408050537
MRI,3.0,False,0.73,0.97,32.19130325317383
MRI,6.0,False,0.72,0.94,32.21006488800049
MRI,0.03,False,0.7933333333333333,1.0,32.14937901496887
MRI,0.06,False,0.7966666666666666,1.0,32.21196246147156
MRI,0.1,False,0.8033333333333333,1.0,32.181981325149536
MRI,0.3,False,0.81,0.99,32.26619362831116
MRI,0.6,False,0.8066666666666666,0.98,31.9775652885437
MRI,1.0,False,0.7933333333333333,0.98,32.2532000541687
MRI,3.0,False,0.7666666666666667,0.98,32.21437788009644
MRI,0.03,False,0.7666666666666667,1.0,32.301889181137085
MRI,0.06,False,0.77,0.99,31.83567595481873
MRI,0.1,False,0.7666666666666667,1.0,31.745294094085693
MRI,0.3,False,0.77,0.99,31.97134017944336
MRI,0.6,False,0.77,0.99,31.88442158699036
MRI,1.0,False,0.7733333333333333,1.0,31.97846245765686
MRI,3.0,False,0.7533333333333333,0.99,31.95701837539673
MRI,6.0,False,0.7433333333333333,0.98,32.00487947463989
MRI,0.03,False,0.7466666666666667,1.0,31.872021675109863
MRI,0.06,False,0.75,1.0,31.95435833930969
MRI,0.1,False,0.76,1.0,32.019810914993286
MRI,0.3,False,0.7633333333333333,0.98,32.03385138511658
MRI,0.6,False,0.77,0.98,31.95216059684753
MRI,1.0,False,0.7666666666666667,0.98,31.85164284706116
MRI,3.0,False,0.7233333333333334,0.97,32.0613329410553
MRI,6.0,False,0.7066666666666667,0.92,31.91119909286499
MRI,0.03,False,0.82,0.99,32.08836555480957
MRI,0.06,False,0.8233333333333334,0.99,32.05285334587097
MRI,0.1,False,0.8266666666666667,0.99,32.256442070007324
MRI,0.3,False,0.82,0.98,32.031007528305054
MRI,0.6,False,0.8,0.96,32.17558288574219
MRI,1.0,False,0.79,0.96,32.118093490600586
MRI,3.0,False,0.7633333333333333,0.96,32.29796123504639
MRI,6.0,False,0.7533333333333333,0.95,32.179858446121216
MRI,0.03,False,0.7533333333333333,1.0,32.05048894882202
MRI,0.06,False,0.7566666666666667,0.99,32.15113997459412
MRI,0.1,False,0.7533333333333333,0.99,32.09306645393372
MRI,0.3,False,0.7533333333333333,0.99,32.21082949638367
MRI,0.6,False,0.7333333333333333,0.97,32.154301166534424
MRI,1.0,False,0.73,0.98,32.03390550613403
MRI,3.0,False,0.7233333333333334,0.98,32.11211085319519
MRI,6.0,False,0.72,0.97,32.180999994277954
MRI,0.03,False,0.7833333333333333,1.0,32.18440818786621
MRI,0.06,False,0.7866666666666666,1.0,32.23662304878235
MRI,0.1,False,0.78,1.0,32.22753286361694
MRI,0.3,False,0.79,1.0,32.260775327682495
MRI,0.6,False,0.7833333333333333,1.0,32.16025161743164
MRI,1.0,False,0.7866666666666666,1.0,32.19522833824158
MRI,3.0,False,0.76,1.0,32.083608865737915
MRI,6.0,False,0.7333333333333333,0.98,32.195741176605225
MRI,0.03,False,0.7466666666666667,1.0,32.1791627407074
